Date ,Day,Month,Year,Quarter,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
20-Dec-24,Friday,December,2024,Q4,EQ,799.00,812.60,761.85,796.00,769.65,767.55,784.68,1348.00,588.00,1799045.00,79212.00
19-Dec-24,Thursday,December,2024,Q4,EQ,775.00,799.50,770.05,793.85,794.00,796.00,788.42,1348.00,588.00,978345.00,31460.00
18-Dec-24,Wednesday,December,2024,Q4,EQ,815.90,818.75,790.20,813.35,793.95,793.85,800.82,1348.00,588.00,1503369.00,38457.00
17-Dec-24,Tuesday,December,2024,Q4,EQ,811.50,825.50,806.40,811.90,815.35,813.35,816.73,1348.00,588.00,1352971.00,33804.00
16-Dec-24,Monday,December,2024,Q4,EQ,830.00,830.90,809.00,832.40,810.00,811.90,820.63,1348.00,588.00,1588379.00,36856.00
13-Dec-24,Friday,December,2024,Q4,EQ,818.90,837.50,807.00,818.15,828.15,832.40,821.93,1348.00,588.00,3750259.00,62697.00
12-Dec-24,Thursday,December,2024,Q4,EQ,788.00,832.80,783.25,791.50,818.60,818.15,816.39,1348.00,588.00,7753669.00,154750.00
11-Dec-24,Wednesday,December,2024,Q4,EQ,784.55,797.00,773.00,784.55,793.05,791.50,785.55,1348.00,588.00,1601918.00,47239.00
10-Dec-24,Tuesday,December,2024,Q4,EQ,805.45,806.00,775.80,803.45,786.20,784.55,789.82,1348.00,588.00,1881212.00,51687.00
09-Dec-24,Monday,December,2024,Q4,EQ,808.35,814.00,797.00,808.35,805.00,803.45,804.74,1348.00,588.00,1461945.00,39801.00
06-Dec-24,Friday,December,2024,Q4,EQ,826.00,830.00,805.30,822.80,807.50,808.35,817.40,1348.00,588.00,1763438.00,48155.00
05-Dec-24,Thursday,December,2024,Q4,EQ,829.10,830.00,806.00,813.45,823.30,822.80,817.95,1348.00,588.00,3190458.00,72609.00
04-Dec-24,Wednesday,December,2024,Q4,EQ,820.05,828.00,797.00,801.85,821.10,813.45,808.98,1348.00,588.00,4086092.00,88073.00
03-Dec-24,Tuesday,December,2024,Q4,EQ,807.05,829.00,798.00,807.00,799.90,801.85,811.08,1348.00,588.00,4239248.00,99706.00
02-Dec-24,Monday,December,2024,Q4,EQ,844.90,855.85,802.50,840.50,805.30,807.00,821.65,1348.00,588.00,8433923.00,183860.00
29-Nov-24,Friday,November,2024,Q4,EQ,748.00,869.75,742.00,726.85,824.55,840.50,818.72,1348.00,588.00,30918520.00,461524.00
28-Nov-24,Thursday,November,2024,Q4,EQ,689.90,726.85,685.00,660.80,726.85,726.85,722.14,1348.00,588.00,9255642.00,86894.00
27-Nov-24,Wednesday,November,2024,Q4,EQ,601.10,660.80,588.00,600.75,660.80,660.80,641.79,1348.00,588.00,9030869.00,124802.00
26-Nov-24,Tuesday,November,2024,Q4,EQ,637.75,637.75,593.05,625.20,600.90,600.75,605.42,1348.00,593.05,7755657.00,159034.00
25-Nov-24,Monday,November,2024,Q4,EQ,678.00,694.20,620.00,648.95,622.00,625.20,649.71,1348.00,620.00,13113479.00,326674.00
22-Nov-24,Friday,November,2024,Q4,EQ,658.15,695.00,627.50,697.25,648.85,648.95,661.48,1348.00,627.50,22987433.00,558691.00
21-Nov-24,Thursday,November,2024,Q4,EQ,697.25,724.00,697.25,871.55,697.25,697.25,700.25,1348.00,697.25,21316268.00,181197.00
